D.Va,Tracer,Zenyatta,Roadhog,Zarya,Mercy,McCree,Genji,Ana,Junkrat,Widowmaker,Orisa,Soldier: 76,Doomfist,Reaper,Reinhardt,Torbjörn,Pharah,Winston,Moira,Sombra,Lúcio,Hanzo,Mei,Bastion,Symmetra,hours,rank
27:9,4:2,3:1,1:0,1:0,1:0,0:1,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 26 Min. Ago,4765
3:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,5:0,0:0,0:0,0:0,2:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 2 Hours Ago,4756
4:2,0:0,0:0,0:0,2:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 13 Hours Ago,4744
0:0,0:0,0:0,0:0,0:0,43:15,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:2,0:0,0:0,0:0,0:0,Updated : 2 Hours Ago,4730
0:0,10:2,0:0,0:0,0:0,0:0,0:1,3:1,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,Updated : 14 Hours Ago,4720
0:0,72:45,1:0,3:5,8:3,1:1,11:10,44:28,1:0,2:1,6:6,0:1,14:10,2:0,0:1,1:1,0:1,1:0,0:1,0:0,1:0,2:0,0:2,0:1,2:1,0:1,Updated : 2 Hours Ago,4707
4:3,0:2,22:8,2:0,0:0,3:1,0:0,0:0,0:2,0:0,0:0,0:0,2:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 24 Hours Ago,4703
0:0,7:3,31:18,2:4,0:0,4:6,15:13,1:1,7:6,0:1,7:6,0:0,6:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 12 Hours Ago,4703
0:0,1:1,6:1,1:0,0:0,0:0,3:2,0:0,5:2,0:0,2:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 19 Hours Ago,4701
0:0,14:10,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,2:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 2 Hours Ago,4698
2:2,4:4,2:3,27:11,5:4,0:2,19:12,0:0,2:0,9:8,19:9,1:1,14:15,0:0,0:0,1:1,4:1,6:3,5:2,0:0,0:0,0:1,0:1,0:0,0:0,1:0,Updated : 25 Hours Ago,4691
0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,43:15,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 10 Hours Ago,4689
14:7,0:0,0:1,5:1,11:6,0:2,0:0,0:0,0:0,0:0,0:0,1:1,1:1,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,1:0,0:0,0:0,Updated : 40 Hours Ago,4687
35:22,0:1,0:2,2:0,13:14,0:0,0:1,0:1,1:0,0:1,0:0,0:0,1:1,1:1,0:0,1:1,0:0,3:2,0:2,0:0,1:0,1:2,0:0,2:2,0:0,0:0,Updated : 47 Hours Ago,4686
0:0,8:2,24:6,6:2,1:0,3:1,13:5,2:1,2:0,0:1,13:3,0:0,1:0,0:0,0:0,0:0,0:0,0:1,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 9 Hours Ago,4680
0:0,22:11,4:5,2:2,4:3,0:2,21:15,10:8,0:0,0:1,13:14,0:0,15:8,0:0,0:0,0:0,0:0,1:0,2:2,0:0,0:0,0:1,0:1,0:0,0:0,0:0,Updated : 43 Min. Ago,4676
2:1,18:11,6:3,2:1,0:1,0:1,14:9,3:1,0:1,4:2,23:11,1:0,4:2,0:0,0:1,1:0,0:0,0:1,0:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 53 Min. Ago,4674
0:0,0:0,0:0,0:0,0:0,15:9,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 7 Hours Ago,4673
21:13,3:4,6:6,1:0,32:18,2:2,0:0,0:0,0:0,1:0,0:0,2:2,1:0,0:0,0:0,3:0,4:0,1:2,10:6,0:0,0:0,0:0,0:0,0:0,0:1,0:0,Updated : 12 Hours Ago,4673
0:0,23:28,0:1,0:2,0:0,0:0,56:49,3:6,0:0,0:0,43:35,0:0,9:5,0:0,0:0,0:0,0:1,0:2,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,Updated : 10 Hours Ago,4670
1:0,0:2,4:1,0:0,0:0,4:0,1:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,Updated : 91 Hours Ago,4666
0:0,0:0,0:1,0:0,0:0,46:27,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,Updated : 2 Hours Ago,4666
9:5,6:2,3:1,5:0,4:2,1:1,0:1,3:1,1:0,0:0,0:1,1:0,0:0,0:0,0:0,0:0,0:0,1:0,2:1,0:0,0:0,0:0,0:1,0:0,0:0,0:0,Updated : 3 Hours Ago,4665
0:0,14:4,2:1,1:1,1:0,8:1,2:1,3:2,2:0,0:1,7:2,0:0,1:2,0:0,0:0,0:0,0:0,2:1,0:1,0:0,0:0,1:0,0:0,0:0,0:1,0:0,Updated : 7 Hours Ago,4665
0:0,0:0,0:1,0:0,0:0,56:38,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,Updated : 5 Hours Ago,4663
89:70,0:0,3:2,3:5,1:6,0:0,0:0,0:0,0:0,0:0,0:0,1:3,0:0,0:0,0:0,0:1,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,Updated : 5 Hours Ago,4662
3:0,9:6,1:1,0:2,0:0,0:1,2:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 12 Hours Ago,4659
0:1,33:14,1:4,0:2,7:5,2:1,3:3,9:8,0:0,2:2,3:3,1:2,31:8,0:1,0:0,3:4,0:1,4:2,3:3,0:0,0:0,0:0,0:0,1:1,1:0,0:0,Updated : 42 Hours Ago,4659
2:0,2:4,46:28,2:0,2:1,10:1,1:1,0:0,7:6,1:0,0:3,1:0,1:2,0:0,0:0,0:2,0:0,0:1,1:0,0:0,0:0,1:0,0:0,0:1,0:0,0:0,Updated : 2 Hours Ago,4658
0:0,6:2,5:1,0:0,0:0,0:0,1:0,3:2,0:1,2:0,2:0,0:0,6:4,1:0,0:0,0:0,0:0,1:0,2:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,Updated : 12 Hours Ago,4656
0:0,5:7,0:1,0:1,1:0,1:0,3:3,9:2,0:0,3:1,4:1,0:0,9:0,0:0,1:0,0:0,0:0,1:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 114 Hours Ago,4655
0:0,8:0,0:0,0:0,0:0,0:0,3:1,1:0,0:0,0:0,1:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 46 Hours Ago,4653
27:15,0:0,0:0,0:1,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 13 Hours Ago,4653
0:0,13:3,0:0,1:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,2:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,Updated : 54 Min. Ago,4652
0:0,0:0,0:0,0:0,0:0,21:12,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 16 Hours Ago,4652
0:0,14:6,0:0,4:0,2:1,0:0,0:1,6:2,0:0,2:0,1:0,0:0,4:2,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,2:0,1:0,0:0,Updated : 75 Hours Ago,4652
0:1,9:16,2:1,4:2,15:12,2:3,85:56,40:22,17:19,2:1,8:4,0:1,4:7,0:0,5:1,1:1,4:1,6:9,1:2,0:0,5:1,6:4,3:2,0:0,3:0,0:1,Updated : 23 Hours Ago,4652
14:11,0:0,2:1,6:4,8:5,0:1,0:0,0:0,0:0,0:0,0:0,0:0,1:1,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,1:1,1:0,0:0,Updated : 5 Hours Ago,4648
0:0,7:4,22:17,4:0,0:0,3:0,1:1,9:4,5:4,0:0,0:3,0:0,1:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 29 Min. Ago,4647
0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,38:21,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,1:1,0:0,Updated : 22 Hours Ago,4646
5:5,1:0,27:13,0:0,0:0,0:0,1:0,0:0,19:7,0:0,0:1,0:0,3:0,1:0,0:0,0:0,0:0,0:0,3:3,0:0,2:0,1:3,0:0,0:0,0:0,0:0,Updated : 12 Hours Ago,4644
1:0,0:0,0:0,3:1,0:1,0:0,8:5,0:1,3:1,1:0,0:1,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 8 Hours Ago,4642
2:0,0:0,0:0,0:1,1:0,0:0,2:0,2:1,1:0,0:0,1:2,0:0,1:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,Updated : 58 Hours Ago,4640
9:3,0:1,3:4,5:0,2:0,0:1,0:0,0:1,0:1,0:0,0:0,0:1,2:1,0:0,0:0,0:0,0:0,0:0,2:1,0:0,0:0,1:0,0:0,0:0,0:0,0:0,Updated : 16 Hours Ago,4640
0:0,34:31,0:1,2:1,0:0,0:0,12:10,3:2,0:1,2:1,6:6,0:0,4:3,1:0,0:0,0:0,0:0,1:2,0:0,0:0,0:0,0:0,1:1,0:1,2:2,0:0,Updated : 10 Hours Ago,4640
10:3,0:0,0:0,1:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 7 Hours Ago,4637
0:0,3:2,0:0,0:0,0:0,0:0,0:2,0:0,0:0,1:0,0:1,0:0,3:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 17 Hours Ago,4636
0:0,0:0,3:2,0:0,0:0,1:0,0:1,1:0,3:1,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 16 Hours Ago,4635
84:49,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:1,0:0,0:0,0:0,0:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 11 Hours Ago,4634
0:0,0:0,3:2,2:0,0:1,2:1,0:0,0:0,0:0,0:0,0:1,1:0,1:0,0:0,0:0,11:4,0:0,0:0,6:4,0:0,0:0,3:0,0:0,0:0,0:0,0:0,Updated : 12 Hours Ago,4633
0:1,13:11,2:2,1:2,3:2,2:4,8:6,12:4,0:1,1:1,2:4,1:1,5:2,0:0,0:0,0:0,0:0,1:1,2:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,Updated : 2 Hours Ago,4632
0:0,11:3,0:0,2:0,0:0,0:0,7:3,0:0,0:0,0:0,3:2,0:0,9:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 12 Hours Ago,4631
0:0,4:1,0:0,0:0,0:0,0:0,1:1,0:1,0:0,0:0,0:1,0:0,2:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 6 Hours Ago,4630
0:0,0:0,1:0,0:0,0:0,0:0,0:0,1:0,0:0,2:1,0:0,0:0,9:4,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 25 Hours Ago,4629
0:0,23:17,0:0,0:0,0:0,0:0,2:1,8:11,2:0,1:1,0:0,0:0,8:5,0:0,0:0,0:0,0:0,2:2,0:0,0:0,1:1,0:0,0:0,0:0,0:0,0:0,Updated : 16 Hours Ago,4629
4:1,1:0,1:1,3:0,2:1,1:2,13:6,2:1,2:2,1:0,2:1,0:0,1:0,0:0,0:0,1:1,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 4 Hours Ago,4628
1:3,0:0,4:1,0:1,0:0,46:38,0:0,0:0,0:1,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,2:0,0:0,0:0,0:3,0:0,0:0,0:0,0:0,Updated : 18 Hours Ago,4628
0:0,31:17,5:2,3:2,2:0,0:1,9:6,3:6,7:2,0:0,22:13,0:0,1:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,Updated : 22 Hours Ago,4628
0:0,11:6,0:0,1:0,0:0,0:0,4:3,1:2,0:1,0:0,1:1,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 42 Hours Ago,4624
0:0,29:13,0:0,0:0,0:0,0:0,10:11,0:0,0:0,0:0,4:4,0:0,2:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,5:1,0:0,Updated : 6 Hours Ago,4624
0:0,5:2,2:0,0:0,0:1,0:0,1:1,4:2,0:0,0:0,3:0,0:0,0:1,0:0,0:0,0:0,0:0,3:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 19 Hours Ago,4623
0:0,11:14,53:27,4:4,1:1,2:2,1:2,4:2,6:2,0:0,2:2,0:1,2:1,0:0,0:0,1:0,0:0,0:1,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 3 Hours Ago,4623
0:0,0:1,5:6,13:8,0:1,0:1,20:12,1:0,0:0,9:2,5:2,1:1,4:2,0:0,1:0,0:1,0:0,3:3,0:2,0:0,0:0,0:0,0:1,1:1,0:0,0:0,Updated : 3 Hours Ago,4620
0:2,0:0,0:0,5:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 110 Hours Ago,4617
2:2,2:1,0:1,2:1,0:0,0:0,6:2,1:2,0:0,1:0,39:20,0:0,6:1,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,Updated : 74 Hours Ago,4617
4:1,23:17,1:2,1:1,1:0,1:0,2:2,3:2,0:0,1:0,6:2,0:0,2:1,1:1,0:0,0:0,0:0,2:0,1:1,0:1,0:0,0:0,0:0,0:0,1:0,0:0,Updated : 7 Hours Ago,4615
0:0,17:10,0:1,2:1,0:1,0:0,5:4,1:2,0:1,1:0,3:3,0:0,2:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 2 Hours Ago,4612
6:3,56:33,22:5,2:4,2:2,6:3,21:23,16:20,1:1,1:3,15:13,0:3,9:8,3:3,2:1,1:1,0:2,8:5,2:3,0:0,0:0,0:2,0:2,0:0,2:0,0:0,Updated : 38 Hours Ago,4612
6:3,3:3,1:3,0:1,4:1,9:7,22:11,22:17,3:3,10:6,1:3,0:1,1:3,0:0,1:0,1:1,2:1,10:7,2:0,0:0,1:1,1:2,2:1,1:1,1:3,0:0,Updated : 13 Hours Ago,4611
0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,10:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 82 Hours Ago,4610
0:0,39:21,4:2,5:7,0:1,0:0,6:5,17:9,0:0,9:7,7:4,0:1,4:3,0:0,0:0,0:1,0:0,14:12,1:3,0:0,0:0,0:1,0:0,0:0,1:0,0:0,Updated : 7 Hours Ago,4610
0:0,0:0,44:24,0:0,0:0,2:2,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 12 Hours Ago,4608
3:0,1:1,3:1,0:0,4:1,0:0,2:1,4:1,0:0,1:1,1:0,0:0,2:1,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,1:0,0:0,0:0,1:0,0:0,Updated : 45 Hours Ago,4607
6:3,0:1,3:1,3:2,0:2,0:0,0:0,3:1,0:0,7:2,0:0,0:0,1:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 13 Hours Ago,4607
3:1,2:1,5:2,1:2,1:0,0:0,1:1,5:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,1:0,0:0,0:0,2:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 40 Hours Ago,4604
0:0,15:9,3:2,0:2,0:1,0:1,9:6,2:3,0:1,3:3,25:11,0:0,14:7,0:0,0:0,0:0,0:0,2:1,2:1,0:0,0:0,0:0,1:0,0:0,0:0,0:0,Updated : 36 Hours Ago,4604
0:1,14:11,1:0,2:0,1:0,1:0,2:3,1:1,0:0,0:1,6:5,0:0,1:0,0:0,0:0,0:1,0:0,1:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 23 Hours Ago,4603
8:6,0:0,0:2,2:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:2,0:0,0:0,0:0,1:0,0:0,0:0,33:14,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 19 Min. Ago,4603
7:1,2:1,0:0,0:1,0:0,0:0,0:0,2:0,0:0,1:0,0:0,2:0,1:0,0:0,0:0,0:0,0:0,2:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 14 Hours Ago,4602
2:2,13:7,1:1,0:0,1:0,1:1,1:1,6:2,0:0,5:1,5:3,0:1,2:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 106 Hours Ago,4602
11:9,17:20,3:1,8:7,3:4,3:3,0:0,6:10,0:0,9:5,1:1,1:0,31:25,0:0,0:0,1:1,5:2,85:52,7:6,2:1,4:1,3:1,0:1,4:2,2:1,0:0,Updated : 15 Hours Ago,4602
1:1,2:3,1:0,0:1,3:0,0:0,6:2,1:1,0:1,2:0,0:1,0:0,4:1,0:1,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 12 Hours Ago,4601
2:1,12:7,0:0,0:0,1:2,0:1,2:1,1:2,1:0,0:1,1:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 7 Hours Ago,4601
0:0,5:5,4:2,3:5,1:0,0:1,6:4,22:12,3:0,3:2,2:4,0:1,6:7,0:0,0:0,0:1,0:0,9:5,6:6,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 13 Hours Ago,4601
28:13,0:1,3:1,3:2,1:1,4:7,0:0,0:0,0:0,1:0,0:0,15:2,0:0,0:0,0:0,0:1,0:0,0:0,3:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 8 Hours Ago,4600
2:2,0:0,25:9,1:1,1:0,30:16,0:0,0:0,0:1,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:2,0:0,0:0,0:1,0:0,0:0,0:0,0:0,Updated : 34 Min. Ago,4600
2:1,7:7,2:2,1:1,1:0,6:2,0:2,7:6,1:1,6:2,0:1,0:1,5:5,0:0,0:0,2:0,0:0,5:1,5:3,0:0,0:0,1:0,0:1,0:0,0:1,0:0,Updated : 16 Hours Ago,4600
2:1,30:18,3:1,1:3,5:2,0:0,21:8,5:3,1:0,0:0,1:4,0:0,9:4,2:1,1:2,0:0,1:0,0:1,0:0,0:0,0:0,1:0,0:1,0:0,0:1,0:0,Updated : 5 Min. Ago,4600
1:1,1:7,1:0,1:0,4:3,2:2,5:10,0:0,3:3,2:3,84:47,0:0,1:3,0:2,1:2,1:1,0:0,3:3,0:1,1:0,1:1,0:0,1:0,2:3,0:1,2:1,Updated : 2 Hours Ago,4600
3:2,0:0,1:1,1:2,0:0,0:0,0:0,0:0,1:0,0:0,0:0,1:1,1:0,0:0,0:0,3:1,0:0,0:0,24:15,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 14 Hours Ago,4599
1:2,4:2,2:0,0:2,0:1,7:1,3:3,1:0,1:1,5:2,1:3,4:1,0:1,0:0,0:0,0:0,0:0,25:12,1:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,Updated : 2 Hours Ago,4599
3:4,2:2,77:44,12:13,0:0,16:15,3:3,0:0,3:2,0:1,2:0,0:1,2:3,0:0,0:3,2:0,0:1,0:0,0:2,0:0,1:1,0:0,0:0,0:1,0:0,0:0,Updated : 3 Hours Ago,4598
8:10,0:0,0:0,1:1,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 4 Hours Ago,4597
5:2,0:0,2:0,4:2,0:1,9:4,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,1:0,0:0,0:0,10:4,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 12 Hours Ago,4597
1:2,0:0,44:29,2:0,2:1,37:25,5:4,0:0,3:3,4:2,0:0,3:3,3:3,0:0,1:0,1:3,0:0,0:0,3:3,0:2,0:1,2:1,0:0,0:0,0:0,0:0,Updated : 15 Hours Ago,4597
19:10,10:6,1:0,0:0,5:1,0:0,0:1,0:1,0:0,0:0,0:0,1:0,3:2,0:0,0:0,0:1,0:0,0:0,3:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 12 Hours Ago,4596
0:0,1:1,0:1,2:0,0:1,0:0,14:15,3:5,0:0,0:0,0:1,0:0,3:1,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,Updated : 39 Hours Ago,4595
0:0,21:19,3:4,1:1,0:0,0:0,9:6,1:0,0:1,0:0,8:8,0:0,9:6,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3:2,0:0,Updated : 3 Hours Ago,4594
0:0,0:0,4:6,0:0,0:0,0:1,0:0,0:0,0:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 27 Min. Ago,4592
0:0,3:3,0:0,0:0,0:0,0:0,1:0,0:1,0:0,1:1,1:0,0:1,16:4,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,Updated : 15 Hours Ago,4590
3:1,0:1,4:1,1:1,0:0,0:1,0:1,10:2,2:0,0:2,0:1,0:0,1:0,0:0,0:0,0:0,0:0,2:1,1:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 74 Hours Ago,4589
4:0,0:0,0:0,0:0,0:0,0:0,0:0,2:0,0:0,0:0,2:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 18 Hours Ago,4588
0:0,0:0,0:0,0:0,0:0,30:25,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 27 Min. Ago,4588
9:7,0:2,88:58,2:3,2:1,5:8,0:2,3:5,11:8,0:0,1:1,0:0,1:2,0:0,0:0,0:1,0:0,0:1,1:3,0:0,0:0,1:1,0:0,0:0,0:0,0:0,Updated : 34 Hours Ago,4586
1:0,0:0,8:1,0:0,0:0,6:3,0:0,0:0,3:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,1:0,0:0,0:1,0:0,0:0,0:0,0:0,Updated : 24 Hours Ago,4585
0:1,2:0,11:7,0:0,0:1,3:1,0:0,0:0,0:0,0:0,0:1,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 35 Hours Ago,4585
0:0,0:0,0:0,0:0,0:0,0:0,0:0,43:34,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 2 Hours Ago,4585
63:39,0:2,1:2,7:6,4:4,1:3,0:1,1:0,0:0,0:2,0:0,1:2,0:0,0:0,0:0,0:0,0:0,0:0,3:3,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 19 Min. Ago,4585
0:0,0:0,0:1,0:0,1:0,0:0,0:0,0:0,0:0,1:0,0:0,7:7,0:0,0:0,0:0,80:56,0:0,0:0,30:35,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 14 Hours Ago,4585
0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,15:8,0:0,0:0,19:11,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 12 Hours Ago,4584
15:7,0:1,0:2,0:1,7:2,4:3,2:1,2:2,0:0,1:0,0:2,1:0,2:1,0:0,0:0,0:0,0:0,1:0,1:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,Updated : 12 Hours Ago,4584
28:13,2:2,4:2,1:0,5:1,0:0,1:5,3:4,0:1,3:2,2:0,0:0,1:3,0:0,0:0,0:0,0:0,5:5,4:3,0:0,0:0,3:2,1:0,0:0,0:0,0:0,Updated : 68 Hours Ago,4584
0:1,0:0,0:0,0:0,0:0,83:78,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 2 Hours Ago,4584
13:7,0:0,0:0,0:1,2:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 132 Hours Ago,4583
