D.Va,Tracer,Zenyatta,Roadhog,Zarya,Mercy,McCree,Genji,Ana,Junkrat,Widowmaker,Orisa,Soldier: 76,Doomfist,Reaper,Reinhardt,Torbjörn,Pharah,Winston,Moira,Sombra,Lúcio,Hanzo,Mei,Bastion,Symmetra,hours,rank
3:1,0:0,11:5,1:0,0:0,8:3,1:0,0:0,1:1,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,3:1,0:0,0:0,1:0,0:0,0:0,0:0,0:2,Updated : 10 Hours Ago,4380
0:0,9:7,1:5,8:4,1:1,0:0,7:4,6:3,0:1,0:0,5:2,0:0,1:1,0:1,2:1,1:1,0:0,0:0,1:0,0:0,0:0,0:0,2:0,0:0,0:0,0:0,Updated : 12 Hours Ago,4380
1:0,6:4,4:1,0:2,1:2,1:1,17:16,0:1,2:2,1:0,4:5,0:0,2:2,0:0,0:0,1:0,0:0,0:0,0:0,0:0,1:0,0:1,1:2,0:0,0:0,0:0,Updated : 12 Hours Ago,4380
20:10,16:6,0:0,0:0,12:4,0:0,4:4,0:0,0:0,0:0,0:0,0:0,3:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,Updated : 3 Hours Ago,4380
10:8,0:0,15:13,0:1,0:0,22:16,0:0,0:1,1:0,0:0,0:0,0:1,3:3,0:0,0:0,0:1,0:0,0:0,0:1,1:0,0:0,0:1,0:1,0:0,0:0,0:0,Updated : 12 Hours Ago,4380
3:6,23:24,7:0,3:3,10:3,10:6,15:12,7:8,5:0,5:2,13:14,2:0,4:6,1:9,0:3,1:2,1:0,6:4,5:2,0:0,0:0,0:1,1:1,0:0,0:1,0:0,Updated : 15 Hours Ago,4379
0:0,1:3,0:0,1:2,8:0,1:5,5:4,0:0,5:11,6:6,0:1,10:25,1:3,0:0,1:0,29:43,4:4,0:0,54:37,0:0,4:4,0:0,0:0,0:1,0:0,1:0,Updated : 24 Hours Ago,4379
26:17,2:2,81:63,7:9,4:6,35:40,0:1,7:19,14:15,0:0,0:2,0:1,2:2,0:0,0:0,7:10,0:1,0:0,25:22,0:0,0:2,2:5,0:0,0:1,0:0,0:0,Updated : 13 Hours Ago,4379
1:2,1:2,2:2,1:4,1:0,1:0,0:2,0:1,0:0,0:1,1:2,0:0,9:5,0:0,0:1,0:0,0:0,2:1,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 12 Hours Ago,4378
0:0,0:1,27:15,1:0,0:0,0:3,0:0,0:0,10:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:1,0:0,0:0,0:2,0:0,0:0,0:0,0:0,Updated : 87 Hours Ago,4378
0:0,0:0,0:1,0:0,0:0,32:29,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,Updated : 36 Hours Ago,4378
1:1,19:10,2:3,0:1,0:0,1:3,5:5,0:0,0:0,9:5,6:4,4:0,1:0,2:1,0:0,0:0,0:0,1:2,2:1,0:0,0:0,0:0,1:0,0:0,1:0,0:0,Updated : 182 Hours Ago,4378
46:29,0:0,0:0,1:1,0:3,0:0,0:1,0:0,0:0,0:0,0:0,1:2,0:0,0:0,0:0,1:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 57 Hours Ago,4476
2:1,23:23,8:9,2:3,0:0,1:1,27:29,14:11,3:6,6:7,10:13,1:0,4:1,1:1,2:1,0:0,0:2,2:2,8:6,0:0,0:0,0:0,0:7,0:1,2:2,0:0,Updated : 35 Hours Ago,4378
3:4,2:1,28:18,13:9,4:2,0:0,47:29,1:1,1:3,8:3,18:18,1:3,22:5,1:1,1:0,2:2,0:1,0:1,3:2,1:1,0:1,0:0,2:9,0:1,1:0,1:0,Updated : 10 Hours Ago,4378
2:1,2:5,4:1,3:1,1:2,0:0,4:2,5:4,0:2,0:1,0:0,0:0,1:1,1:0,0:0,1:0,1:0,1:0,1:1,0:2,0:0,0:0,0:0,0:0,1:0,0:0,Updated : 16 Hours Ago,4377
0:0,0:0,0:1,0:0,0:0,27:24,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 4 Hours Ago,4377
25:14,0:0,0:0,1:4,0:4,1:1,0:0,0:0,0:0,0:0,0:0,1:2,0:0,0:0,0:0,1:0,0:0,0:0,3:5,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 199 Hours Ago,4377
2:2,5:6,4:4,0:3,1:0,3:2,4:3,3:3,0:1,4:1,4:4,1:0,4:2,0:0,0:0,1:0,0:0,1:1,1:2,0:0,0:0,0:0,0:1,0:0,0:0,0:0,Updated : 114 Hours Ago,4377
4:4,4:4,3:3,8:11,0:1,3:0,0:1,1:1,1:0,8:4,1:1,0:0,0:1,0:0,0:0,1:0,0:0,1:2,9:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 14 Hours Ago,4377
0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,48:28,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:3,0:0,0:2,0:0,0:0,Updated : 10 Hours Ago,4377
11:6,1:2,15:9,8:9,2:1,11:12,2:5,4:5,1:1,2:4,0:3,2:3,1:0,0:1,0:0,3:1,0:0,2:1,4:7,0:0,0:0,1:0,0:0,0:1,0:1,0:1,Updated : 5 Hours Ago,4377
0:0,0:0,0:0,0:0,0:0,102:50,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 147 Hours Ago,4377
0:1,23:28,0:1,0:1,0:3,2:1,23:12,12:10,7:3,0:1,27:14,1:0,3:3,0:0,0:0,0:0,0:0,2:0,1:0,0:0,1:0,0:0,0:1,0:1,1:0,1:0,Updated : 9 Hours Ago,4377
6:4,22:26,40:25,3:1,0:0,9:6,4:5,14:8,1:2,1:0,1:3,0:0,2:1,0:0,0:0,0:0,0:0,0:2,0:2,5:6,0:0,0:2,0:1,0:0,0:0,0:0,Updated : 13 Hours Ago,4377
0:1,1:0,4:3,21:30,1:0,0:0,5:3,0:0,0:0,0:0,2:2,0:3,0:1,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,1:1,0:0,Updated : 114 Hours Ago,4281
22:15,19:16,5:10,20:18,2:2,18:9,21:18,47:49,0:3,23:12,0:1,6:5,2:2,1:3,1:4,1:0,0:2,1:0,3:4,1:0,0:1,0:1,0:2,0:1,1:3,0:0,Updated : 38 Hours Ago,4377
0:0,0:0,0:0,0:0,0:0,12:6,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 24 Hours Ago,4376
1:0,9:8,0:0,3:1,0:0,0:1,4:3,0:0,0:0,0:0,3:3,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 3 Hours Ago,4376
